countryId,importFromCountryId,percentImportOfTotalTrade
159,44,24.1755
159,221,14.4086
159,186,5.3893
160,191,15.2676
160,108,12.5415
161,44,31.3296
161,191,18.9314
162,12,29.8090
162,44,17.6631
162,191,10.3925
163,44,28.2300
163,29,22.3325
163,9,9.9777
164,44,22.2846
164,29,6.1682
165,44,19.6277
165,108,9.9068
166,82,22.6943
166,44,12.1454
166,174,6.7718
167,199,31.4588
167,82,13.8573
167,76,7.6398
169,44,10.3561
169,82,9.2652
170,44,20.4526
170,108,11.5210
171,173,14.3753
171,174,11.8332
171,220,10.5787
173,82,20.0744
173,106,10.0428
173,97,7.4776
174,44,21.1966
174,82,9.9646
175,44,21.2438
175,219,11.2355
175,111,7.8365
177,222,44.6445
177,197,43.0564
177,85,7.8378
178,213,4.4071
178,38,2.6808
179,213,15.0165
181,76,57.4346
181,38,34.2621
181,147,3.9828
182,213,15.7320
182,222,7.3795
183,149,26.4114
183,191,16.5572
185,167,54.4637
185,6,19.7976
185,44,5.0417
186,44,14.1939
186,82,6.4859
187,76,14.7121
187,44,9.7265
187,152,7.9158
188,82,13.4239
188,106,9.3602
188,44,8.3745
189,221,25.5543
189,199,10.1081
189,76,8.7928
190,44,16.7812
190,99,7.8155
190,215,7.1826
191,44,13.8365
191,126,11.8579
193,82,16.6922
193,57,10.2903
194,82,17.0807
194,106,14.4585
194,13,7.9604
195,12,19.9218
195,191,13.8030
195,149,13.1665
196,44,18.4502
196,99,17.7898
196,157,14.0938
197,44,18.3353
197,82,11.5082
198,219,46.7890
198,111,27.3691
198,44,9.0249
199,82,12.5087
199,76,10.7191
199,44,8.2527
200,99,21.0829
200,44,19.6537
200,221,7.3366
201,105,58.2275
201,215,8.8872
201,44,7.1345
202,44,21.9956
202,221,10.6414
202,186,6.9066
203,147,13.8155
203,213,9.7073
204,82,17.9190
204,147,9.3942
204,156,8.6415
205,82,20.7377
205,222,9.5273
205,106,7.6378
206,215,25.2593
206,44,21.3410
206,65,4.6393
207,44,38.9758
207,174,23.2058
207,110,15.6174
208,44,21.5879
208,108,15.7689
209,100,31.8843
209,44,15.1242
209,191,13.0939
210,44,19.6333
210,76,10.8068
210,108,5.0695
211,152,80.9954
211,82,7.0367
211,183,3.5785
212,149,26.8515
212,74,26.0493
212,44,15.6105
213,174,14.8894
213,44,7.7812
214,106,15.5787
214,76,15.0605
214,44,8.9762
215,44,9.9960
215,82,9.1112
215,174,8.3465
216,215,25.9765
216,174,10.1173
216,82,10.0297
217,222,1.4537
218,191,22.7669
218,74,22.0445
218,44,20.6477
219,44,17.6192
219,99,13.1582
219,221,11.7893
220,174,14.5564
220,44,11.4130
220,82,10.5207
221,44,8.2783
222,82,13.6749
222,44,9.4644
223,44,19.3718
223,99,15.0342
223,221,7.6756
224,44,21.8503
224,135,13.1764
224,38,12.7058
226,44,20.0265
226,29,19.4670
226,9,12.5792
227,174,24.4593
227,44,22.7705
227,110,11.7809
228,44,19.5793
228,12,16.7549
228,108,9.0285
229,44,18.2841
229,135,9.3202
230,44,27.4523
230,108,7.9341
231,76,37.4328
231,74,23.1998
233,44,22.2449
233,186,11.4894
233,157,7.8557
234,197,28.8191
234,44,13.6411
235,197,39.2800
235,191,21.6629
235,44,5.7137
