countryId,healthExp,physiciansPer1000,popUsingSafeSanitationFacilities,popUsingSafeWaterServices
190,7.9108,NULL,13.3495,9.9191
191,12.5689,NULL,100,100
192,NULL,NULL,NULL,NULL
193,13.2689,NULL,82.5197,99.7877
194,13.6175,NULL,83.0413,98.053
195,7.1658,NULL,NULL,NULL
196,NULL,NULL,NULL,NULL
197,13.3386,0.9,NULL,NULL
198,2.1062,NULL,NULL,NULL
199,15.2847,NULL,96.6202,98.4415
200,8.4724,1.0,NULL,NULL
201,NULL,NULL,61.2432,NULL
202,8.2841,NULL,NULL,NULL
203,11.7768,NULL,NULL,NULL
204,18.6949,NULL,93.3794,99.94
205,11.0236,NULL,99.5393,95.4554
206,NULL,NULL,NULL,NULL
207,5.8841,NULL,NULL,47.8671
208,15.0278,0.8,NULL,NULL
209,5.1873,0.7,NULL,NULL
210,5.0529,NULL,NULL,NULL
211,NULL,NULL,NULL,NULL
212,7.3840,NULL,NULL,NULL
213,11.2112,NULL,NULL,NULL
214,13.6278,NULL,78.1183,92.6575
215,9.6890,NULL,65.2002,NULL
216,8.7139,NULL,NULL,93.904
217,NULL,NULL,NULL,NULL
218,10.0000,NULL,6.3154,NULL
219,5.1353,NULL,NULL,7.0658
220,7.4239,NULL,68.4599,92.0069
221,7.8905,NULL,96.28,NULL
222,18.7396,2.8,97.7545,99.9888
223,9.5214,NULL,25.3789,NULL
224,22.5492,NULL,89.967,99.0018
225,NULL,NULL,NULL,NULL
226,19.7755,5.0,NULL,NULL
227,10.1703,NULL,NULL,58.9038
228,5.3016,NULL,NULL,44.1303
229,1.3708,NULL,23.7586,NULL
230,9.4756,NULL,NULL,NULL
231,NULL,NULL,NULL,NULL
232,NULL,NULL,NULL,NULL
233,NULL,NULL,NULL,NULL
234,6.8567,NULL,NULL,NULL
235,15.2343,NULL,NULL,NULL
