countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
150,NULL,39.8119,39.8119,39.8119
151,13.2502,48.1168,48.1168,48.1168
152,NULL,NULL,NULL,NULL
153,NULL,33.3643,33.3643,33.3643
154,8.6409,NULL,NULL,NULL
155,NULL,NULL,NULL,NULL
156,15.7281,23.7194,23.7194,23.7194
157,15.3437,37.9493,37.9493,37.9493
158,NULL,NULL,NULL,NULL
159,13.8473,43.6771,43.6771,43.6771
160,15.5377,44.8644,44.8644,44.8644
161,13.0197,23.471,23.471,23.471
162,NULL,NULL,NULL,NULL
163,NULL,36.4365,36.4365,36.4365
164,18.2358,33.4861,33.4861,33.4861
165,13.2112,54.9751,54.9751,54.9751
166,11.5827,30.8471,30.8471,30.8471
167,10.152000000000001,28.9628,28.9628,28.9628
168,NULL,22.004,22.004,22.004
169,8.8824,17.6384,17.6384,17.6384
170,NULL,31.8078,31.8078,31.8078
171,18.3323,22.7342,22.7342,22.7342
172,NULL,NULL,NULL,NULL
173,9.0762,13.3139,13.3139,13.3139
174,10.8695,NULL,NULL,NULL
175,11.0796,34.6111,34.6111,34.6111
176,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,NULL
178,8.6355,21.3819,21.3819,21.3819
179,21.9757,26.3794,26.3794,26.3794
180,NULL,NULL,NULL,NULL
181,NULL,NULL,NULL,NULL
182,18.9783,36.5981,36.5981,36.5981
183,10.4792,37.049,37.049,37.049
184,10.6404,33.3214,33.3214,33.3214
185,18.3994,55.8172,55.8172,55.8172
186,19.2574,NULL,NULL,NULL
187,21.5628,31.3175,31.3175,31.3175
188,8.693,45.3395,45.3395,45.3395
189,11.7234,30.5708,30.5708,30.5708
190,19.9151,20.3871,20.3871,20.3871
191,19.9587,21.9837,21.9837,21.9837
192,NULL,NULL,NULL,NULL
193,10.2806,19.1247,19.1247,19.1247
194,11.2185,28.3366,28.3366,28.3366
195,17.4785,NULL,NULL,NULL
196,NULL,NULL,NULL,NULL
197,18.7274,38.8862,38.8862,38.8862
198,1.0662,48.5758,48.5758,48.5758
199,9.771,26.6422,26.6422,26.6422
200,14.4998,33.3783,33.3783,33.3783
201,NULL,NULL,NULL,NULL
202,10.7818,NULL,NULL,NULL
203,NULL,NULL,NULL,NULL
204,15.5033,23.3438,23.3438,23.3438
205,15.5267,28.9482,28.9482,28.9482
206,19.1841,38.8728,38.8728,38.8728
207,16.4434,NULL,NULL,NULL
208,19.1259,41.106,41.106,41.106
209,6.7729,64.8913,64.8913,64.8913
210,15.9913,64.0632,64.0632,64.0632
211,NULL,NULL,NULL,NULL
212,18.1025,44.4381,44.4381,44.4381
213,13.9101,39.1824,39.1824,39.1824
214,22.8985,27.6597,27.6597,27.6597
215,12.839,22.8837,22.8837,22.8837
216,20.7955,NULL,NULL,NULL
217,NULL,36.1024,36.1024,36.1024
218,NULL,NULL,NULL,NULL
219,12.0089,59.155,59.155,59.155
220,12.3531,19.6395,19.6395,19.6395
221,NULL,NULL,NULL,NULL
222,13.917,33.3639,33.3639,33.3639
223,17.2971,49.1503,49.1503,49.1503
224,13.5948,30.9646,30.9646,30.9646
225,NULL,NULL,NULL,NULL
226,14.9261,27.8764,27.8764,27.8764
227,19.9572,NULL,NULL,NULL
228,11.7827,44.6363,44.6363,44.6363
229,NULL,31.5452,31.5452,31.5452
230,18.5155,29.6893,29.6893,29.6893
231,NULL,NULL,NULL,NULL
232,NULL,NULL,NULL,NULL
233,12.4892,NULL,NULL,NULL
234,5.6518,59.7587,59.7587,59.7587
235,30.0076,47.7685,47.7685,47.7685
