countryId,exportToCountryId,percentExportOfTotalTrade
166,82,27.2063
166,222,6.3582
166,57,6.3494
167,199,25.3367
167,76,12.6801
167,82,11.4826
169,108,19.0803
169,99,12.8784
170,44,24.7755
170,230,8.3249
171,173,24.7667
171,174,10.4959
171,106,9.7326
173,82,22.9627
173,106,11.2427
173,76,6.7625
174,44,10.4481
174,147,9.6421
175,111,16.0004
175,221,14.0002
177,117,30.1047
177,108,11.3457
178,179,6.8168
178,213,6.5279
179,213,7.9489
181,38,36.7203
181,202,23.7195
181,76,18.4247
182,18,18.5049
182,179,16.2361
182,62,13.7117
183,4,26.6238
183,12,21.4330
183,149,19.6729
185,147,29.5986
185,199,16.6258
185,76,16.0805
186,221,3.7579
186,44,2.6963
187,128,19.8304
187,205,10.0806
188,106,12.2561
188,82,11.9466
189,221,35.7116
189,76,18.0916
189,222,12.9830
190,147,23.0281
190,44,13.0235
191,44,14.4777
191,45,12.3268
191,126,10.6040
193,82,20.6164
193,57,11.4951
193,166,7.6160
194,82,20.1903
194,106,11.5121
194,53,7.9853
195,44,65.2032
195,106,7.7436
195,205,3.8694
196,186,51.8153
196,157,24.0665
196,221,7.7467
197,44,9.8180
197,82,6.5821
198,44,93.2721
198,99,4.8002
198,159,1.4798
199,76,14.6908
199,82,10.9189
199,106,7.8481
200,222,8.8849
200,99,6.7250
201,105,83.1962
201,109,5.5563
201,221,2.5114
202,221,40.2447
202,44,17.3181
202,186,14.1568
203,205,32.0400
203,45,22.5263
203,20,10.7920
204,82,10.6209
204,156,10.3921
204,75,6.9474
205,82,15.2797
205,44,9.7450
206,117,98.1161
206,65,0.3587
206,186,0.2565
207,110,29.9954
207,205,17.4511
207,215,15.3879
208,44,11.0359
208,108,9.5617
209,100,25.3813
209,82,13.6485
210,33,17.9154
210,22,14.3006
210,83,7.5780
211,76,23.8622
211,191,14.0630
212,108,15.5691
213,93,6.8610
213,43,6.6528
214,76,30.5802
214,106,16.4706
214,82,11.5926
215,82,9.6303
215,222,6.1170
215,221,5.8500
216,44,81.0558
216,1,4.6573
216,215,3.9397
217,199,9.8922
218,208,78.6905
218,165,8.8309
218,64,4.5004
219,111,19.0249
219,221,15.3336
219,198,10.3356
220,174,9.0798
220,166,6.2807
220,215,5.7878
221,99,3.7688
222,82,9.5976
222,147,6.8043
223,99,23.5257
223,197,16.7490
223,230,7.5347
224,38,18.2609
224,135,15.7423
224,44,8.4040
226,44,18.7763
226,29,16.4609
227,205,29.1250
227,44,20.7562
227,174,12.5848
228,108,29.5954
228,132,25.7751
228,208,7.5638
229,44,25.0607
