countryId,migrantPercentOfPop,numRefugeesAndAsylum,tourismExp,numTourists
139,11.2859,14547.0000,1110.0000,2077.0000
140,26.3473,NULL,8.4000,8.8000
141,0.2681,7204.0000,9086.0000,12289.0000
142,0.8324,47424.0000,164.0000,2743.0000
143,0.1399,862896.0000,1988.0000,3551.0000
144,3.7520,3731.0000,449.0000,NULL
145,32.6613,807.0000,3.9000,NULL
146,1.7153,21605.0000,712.0000,1173.0000
147,12.0717,111898.0000,23414.0000,18780.0000
148,23.8913,NULL,NULL,120.0000
149,22.6830,1914.0000,10594.0000,3686.0000
150,0.6620,790.0000,841.0000,1256.0000
151,1.3764,350316.0000,91.0000,157.0000
152,0.6470,2190837.0000,2615.0000,NULL
153,34.1780,NULL,NULL,NULL
154,6.2872,1061.0000,331.0000,707.0000
155,39.4912,NULL,NULL,517.0000
156,15.0591,63645.0000,6840.0000,5688.0000
157,44.7190,731.0000,2717.0000,2301.0000
158,NULL,NULL,14847.0000,11067.0000
159,1.7248,1580046.0000,866.0000,NULL
160,22.9555,NULL,123.0000,106.0000
161,4.6535,62112.0000,6824.0000,1785.0000
162,0.3925,9880.0000,15.3000,140.0000
163,2.3567,340.0000,399.0000,1181.0000
164,0.2916,170921.0000,4573.0000,4419.0000
165,0.2083,417064.0000,8349.0000,7168.0000
166,1.6791,26315.0000,14083.0000,19622.0000
167,8.5211,1894.0000,21586.0000,16186.0000
168,7.4661,NULL,3848.0000,3068.0000
169,65.2237,1521.0000,15757.0000,1819.3000
170,2.2593,18969.0000,17173.0000,15347.0000
171,3.4569,5001.0000,443.0000,160.0000
172,14.7340,NULL,427.0000,535.0000
173,1.8840,4662.0000,3008.0000,11720.0000
174,8.0919,185153.0000,14983.0000,24551.0000
175,3.6294,152464.0000,548.0000,NULL
176,NULL,NULL,NULL,NULL
177,14.9667,NULL,NULL,NULL
178,13.7086,NULL,355.0000,125.0000
179,7.2068,5.0000,875.0000,395.0000
180,NULL,NULL,NULL,NULL
181,15.6646,NULL,NULL,NULL
182,4.1812,NULL,211.0000,80.0000
183,2.4837,3.0000,167.0000,164.0000
184,15.6976,NULL,NULL,84.0000
185,1.1222,NULL,65.9000,33.4000
186,36.9944,71165.0000,15020.0000,15334.0000
187,1.6757,18120.0000,468.0000,NULL
188,9.1223,250676.0000,1706.0000,1711.0000
189,13.6441,1.0000,585.0000,362.0000
190,1.2604,686.0000,39.0000,57.0000
191,45.9533,1.0000,19891.0000,14673.0000
192,70.4387,7.0000,646.0000,178.0000
193,3.3894,2509.0000,3024.0000,2256.0000
194,11.7689,1020.0000,3057.0000,4425.0000
195,0.4142,4.0000,79.0000,27.9000
196,0.3043,2940562.0000,NULL,NULL
197,7.1172,273488.0000,9706.0000,10472.0000
198,6.7212,2159192.0000,26.0000,NULL
199,12.8297,67852.0000,75906.0000,82773.0000
200,0.1917,41978.0000,5083.0000,2334.0000
201,5.1565,NULL,225.0000,606.0000
202,1.8153,2927256.0000,1029.0000,836.0000
203,8.4662,119.0000,61.0000,NULL
204,17.6346,321320.0000,14168.0000,7440.0000
205,29.5705,117755.0000,19654.0000,10362.0000
206,5.5491,7187663.0000,NULL,NULL
207,3.0630,10167.0000,171.6000,1035.0000
208,5.1984,583078.0000,57057.0000,38178.0000
209,0.9306,2.0000,73.0000,75.0000
210,3.6417,13149.0000,245.0000,573.0000
211,38.7692,NULL,NULL,NULL
212,4.5843,NULL,48.5000,54.0000
213,3.6676,5969.0000,717.0000,375.0000
214,0.5000,1008.0000,1782.0000,8299.0000
215,6.0462,3923322.0000,31870.0000,45768.0000
216,3.3876,4337.0000,NULL,NULL
217,69.2151,5.0000,NULL,441.0000
218,1.2777,NULL,NULL,2.7000
219,3.9477,1334354.0000,957.0000,NULL
220,11.2256,1845085.0000,2019.0000,14104.0000
221,88.4297,5813.0000,21048.0000,21286.0000
222,13.3598,157159.0000,47719.0000,36316.0000
223,0.8595,507633.0000,2265.0000,1378.0000
224,15.3415,956883.0000,251544.0000,79745.9180
225,54.0939,NULL,1202.0000,381.0000
226,2.3023,10527.0000,2660.0000,3469.0000
227,3.6326,85477.0000,689.0000,5346.0000
228,1.1747,2.0000,289.0000,116.0000
229,4.4605,123529.0000,NULL,NULL
230,0.0797,29522.0000,8890.0000,15498.0000
231,23.6049,NULL,NULL,NULL
232,0.9743,NULL,NULL,NULL
233,1.3604,2405736.0000,NULL,NULL
234,0.9183,73111.0000,653.0000,1072.0000
235,2.4432,19794.0000,158.0000,2580.0000
