countryId,gdp,gdpPerCapita,rdGDPExp,healthGDPExp
161,"61,838","15,088",NULL,7.3195
162,"22,006","2,667",0.0000,2.4693
163,"29,435","4,322",NULL,6.6546
164,"211,403","6,572",0.1000,4.9952
165,"313,595","2,989",NULL,4.4464
166,"526,212","13,786",1.0000,6.5420
167,"195,041","18,882",1.3000,8.9696
168,"104,219","28,451",NULL,NULL
169,"167,605","63,506",NULL,2.6074
170,"1,530,751","30,025",4.2000,7.6039
171,"8,128","2,006",0.3000,7.0130
172,NULL,NULL,NULL,NULL
173,"211,804","10,763",0.5000,5.1579
174,"1,577,524","10,956",1.1000,5.3446
175,"9,136",748,NULL,6.5716
176,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,NULL
178,931,"16,818",NULL,5.0368
179,"1,718","9,607",NULL,4.5459
180,NULL,NULL,NULL,NULL
181,NULL,NULL,NULL,NULL
182,780,"7,099",NULL,4.4871
183,856,"4,356",NULL,5.4828
184,"1,690","50,588",NULL,7.3641
185,393,"1,921",NULL,6.2300
186,"683,827","20,761",NULL,NULL
187,"21,126","1,333",NULL,4.1341
188,"41,590","5,912",0.9000,8.4340
189,"1,487","15,693",0.2000,5.0067
190,"3,740",495,NULL,13.4209
191,"323,901","56,737",NULL,4.4404
192,NULL,NULL,NULL,NULL
193,"95,618","17,552",0.8000,6.7425
194,"48,456","23,296",2.0000,8.1870
195,"1,212","1,982",NULL,4.6849
196,"1,535",104,NULL,NULL
197,"348,872","6,151",NULL,8.1131
198,"5,694",453,NULL,9.7610
199,"1,314,314","28,354",1.2000,8.8731
200,"87,357","4,184",NULL,3.8114
201,"14,498","2,946",NULL,NULL
202,"120,266","2,967",NULL,6.3418
203,"3,807","6,757",NULL,6.2298
204,"535,607","54,043",3.3000,11.0187
205,"678,938","80,101",NULL,12.3463
206,"15,183",831,NULL,NULL
207,"7,146",801,0.1000,7.2288
208,"455,303","6,595",NULL,3.7460
209,"2,955","2,279",NULL,3.8823
210,"4,786",614,NULL,6.1995
211,NULL,NULL,NULL,NULL
212,427,"3,950",NULL,5.2693
213,"22,105","16,145",NULL,6.9787
214,"40,069","3,475",0.6000,7.2325
215,"851,542","10,546",NULL,4.2163
216,"37,915","6,585",NULL,6.9304
217,"1,017","28,689",NULL,NULL
218,44,"3,924",NULL,17.1426
219,"27,699",646,NULL,6.2654
220,"112,154","2,536",0.5000,6.9953
221,"382,575","40,699",1.0000,3.3343
222,"2,631,228","39,758",1.7000,9.6317
223,"52,090",934,NULL,3.6455
224,"19,485,394","60,055",2.7000,17.0613
225,NULL,NULL,NULL,NULL
226,"59,180","17,120",NULL,9.2962
227,"49,677","1,557",0.2000,6.4144
228,864,"3,128",NULL,3.3169
229,"255,093","7,977",NULL,1.1812
230,"223,780","2,342",NULL,5.5321
231,NULL,NULL,NULL,NULL
232,NULL,NULL,NULL,NULL
233,"27,957",990,NULL,NULL
234,"25,868","1,513",NULL,4.4703
235,"18,037","1,091",NULL,6.6359
