countryID estPopSize popDensity rateIncrease lifeExpectancy mortalityRate fertilityRate
88 0.4001 245.7346 -0.28800000000000003 80.556 5.806 2.19
89 0.1673 309.8037 0.3 78.49600000000001 10.068 2.448
90 17.5815 164.0675 2.103 72.44 26.941 3.1923
91 12.7712 51.9748 2.296 58.007 65.695 5.1345
92 1.9209 68.3116 2.637 55.938 68.104 4.9
93 0.7828 3.9765 0.475 68.691 31.655 2.5988
94 11.2631 408.6748 1.446 61.405 60.957 3.26
95 0.0008 1815.9091 0.025 NULL NULL NULL
96 9.7461 87.1045 1.827 73.937 18.386 2.7295
97 9.6847 106.9776 -0.303 75.253 4.961 1.3318
98 0.33899999999999997 3.3819 0.609 82.186 1.5719999999999998 1.9838
99 1366.4178 459.5797 1.193 67.774 39.082 2.396
100 270.6256 149.3873 1.324 70.007 25.028000000000002 2.45
101 82.9139 50.9127 1.2429999999999999 75.044 15.161 1.91
102 39.3098 90.5088 3.58 69.398 28.491999999999997 4.25
103 4.8825 70.8738 0.426 80.612 3.388 1.9654
104 0.0846 148.393 0.759 NULL NULL NULL
105 8.5194 393.6866 1.651 81.906 3.428 3.0439999999999996
106 60.5501 205.8546 0.418 82.35600000000001 3.0380000000000003 1.421
107 2.9483 272.2326 0.565 73.975 14.937999999999999 2.08
108 126.8603 347.9867 -0.087 83.321 2.1830000000000003 1.4087
109 10.1017 113.7834 4.876 73.809 17.059 3.4
110 18.5514 6.8717 1.561 69.067 14.122 2.6733
111 52.574 92.3744 2.605 62.919 41.556000000000004 4.06
112 0.1176 145.1926 1.4969999999999999 66.543 47.925 3.7875
113 4.2071 236.0877 4.968 74.86 8.161 2.1
114 6.4159 33.4507 1.8880000000000001 70.27199999999999 19.543 3.3
115 7.1695 31.0635 1.516 65.488 46.967 2.93
116 1.9067 30.655 -1.178 74.133 5.15 1.4972
117 6.8557 670.1577 5.5360000000000005 78.64399999999999 9.6 2.08
118 2.1253 70.0022 0.626 48.153 65.374 3.26
119 4.9374 51.2601 2.783 60.733999999999995 60.126999999999995 4.75
120 6.7775 3.8518 0.7 71.736 12.959000000000001 2.45
121 0.038 237.6188 0.7609999999999999 NULL NULL NULL
122 2.7596 44.0314 -1.268 73.994 4.364 1.594
123 0.6157 237.7332 2.193 81.145 3.4139999999999997 1.5462
124 26.9693 46.3553 2.721 64.505 36.766 4.4
125 18.6287 197.5896 2.825 59.559 52.552 4.88
126 31.9498 97.2448 1.412 74.962 6.421 2.1059
127 0.531 1769.8433 4.364 76.821 8.95 2.1127
128 19.658 16.1106 2.947 56.235 78.465 6.35
129 0.4404 1376.1625 0.9109999999999999 81.446 5.494 1.395
130 0.0588 326.6167 0.214 NULL NULL NULL
131 0.3756 354.2962 -0.8370000000000001 81.203 6.425 1.975
132 4.5257 4.3909 2.9339999999999997 63.214 58.863 4.88
133 1.2697 625.4522 0.184 74.145 11.959000000000001 1.4859
134 0.2662 709.7333 2.7939999999999996 79.33800000000001 4.195 4.1
135 127.5755 65.627 1.317 74.935 15.162 2.29
136 0.1138 162.5929 1.13 66.887 30.28 3.3255
137 0.039 26150.3356 0.6459999999999999 NULL NULL NULL
138 3.2252 2.076 1.95 68.468 22.788 2.8396
139 0.628 46.6905 0.086 76.083 4.271 1.7103
140 0.005 49.89 0.6829999999999999 NULL NULL NULL
141 36.4718 81.7203 1.386 75.029 24.171 2.6
142 30.366 38.615 2.781 54.208999999999996 62.782 5.232
143 54.0454 82.7281 0.8059999999999999 64.679 43.662 2.25
144 2.4945 3.03 1.77 60.394 38.56 3.625
145 0.0108 537.8 2.322 NULL NULL NULL
146 28.6087 199.5724 0.001 68.61 33.781 2.3178
147 17.0971 507.0323 0.304 81.305 3.457 1.732
148 0.2828 15.4677 1.337 76.333 13.009 2.18
149 4.7831 18.1651 1.089 81.321 4.365 2.0363
150 6.5455 54.3917 1.3259999999999998 73.1 17.825 2.54
151 23.3107 18.4027 3.8930000000000002 59.155 55.9 7.35
152 200.9636 220.6524 2.67 51.95 74.972 5.74
153 0.0016 6.2115 -0.14800000000000002 NULL NULL NULL
154 2.0835 82.6114 0.083 75.161 8.929 1.5033
155 0.0572 124.3826 0.14400000000000002 NULL NULL NULL
156 5.3789 14.7258 1.246 81.60600000000001 2.445 1.8191
157 4.975 16.0743 6.773 76.22 9.602 2.9
