countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
150,NULL,39.8119,13.232999999999999,26.0484
151,13.2502,48.1168,17.6115,23.2572
152,NULL,NULL,NULL,NULL
153,NULL,33.3643,60.1148,NULL
154,8.6409,NULL,NULL,15.0106
155,NULL,NULL,NULL,NULL
156,15.7281,23.7194,29.365,25.905
157,15.3437,37.9493,33.3414,28.7094
158,NULL,NULL,NULL,NULL
159,13.8473,43.6771,28.9765,10.1791
160,15.5377,44.8644,9.5649,20.6562
161,13.0197,23.471,22.4274,22.2408
162,NULL,NULL,NULL,NULL
163,NULL,36.4365,31.2785,23.326
164,18.2358,33.4861,33.7781,16.669
165,13.2112,54.9751,29.6937,11.9573
166,11.5827,30.8471,30.8041,25.2831
167,10.152000000000001,28.9628,42.6078,18.3043
168,NULL,22.004,24.6061,36.7786
169,8.8824,17.6384,14.7406,NULL
170,NULL,31.8078,39.8269,18.9477
171,18.3323,22.7342,35.3272,14.739
172,NULL,NULL,NULL,NULL
173,9.0762,13.3139,41.1143,21.1644
174,10.8695,NULL,NULL,21.1424
175,11.0796,34.6111,52.8252,20.8579
176,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,NULL
178,8.6355,21.3819,40.242,15.3557
179,21.9757,26.3794,30.798000000000002,5.0111
180,NULL,NULL,NULL,NULL
181,NULL,NULL,NULL,NULL
182,18.9783,36.5981,31.7935,7.0103
183,10.4792,37.049,42.8137,9.1818
184,10.6404,33.3214,35.7613,10.7611
185,18.3994,55.8172,22.6082,9.6006
186,19.2574,NULL,NULL,NULL
187,21.5628,31.3175,16.6536,28.0745
188,8.693,45.3395,22.886,28.9068
189,11.7234,30.5708,27.1496,21.6356
190,19.9151,20.3871,20.2257,59.0201
191,19.9587,21.9837,22.9622,35.2841
192,NULL,NULL,NULL,NULL
193,10.2806,19.1247,37.9295,29.909000000000002
194,11.2185,28.3366,34.3888,19.8694
195,17.4785,NULL,NULL,NULL
196,NULL,NULL,NULL,NULL
197,18.7274,38.8862,29.4103,14.3615
198,1.0662,48.5758,18.4952,31.462
199,9.771,26.6422,36.8038,22.358
200,14.4998,33.3783,51.1788,12.9643
201,NULL,NULL,NULL,NULL
202,10.7818,NULL,NULL,NULL
203,NULL,NULL,NULL,NULL
